"id","id_cadastro","valor_debito","tipo_debito","desc_debito","vcto_debito","qtde_item_debito","codigo_item_debito"
"2","1785013","170.00","2","UNIFORME","2024-07-01","1","1"
"3","276218","170.00","2","UNIFORME","2024-07-01","1","1"
"4","28110","170.00","2","UNIFORME","2024-07-01","1","1"
"5","271869","170.00","2","UNIFORME","2024-07-01","1","1"
"6","2533980","170.00","2","UNIFORME","2024-07-01","1","1"
"7","277365","170.00","2","UNIFORME","2024-07-01","1","1"
"8","271838","170.00","2","UNIFORME","2024-07-01","1","1"
"9","260574","170.00","2","UNIFORME","2024-07-01","1","1"
"10","2692152","170.00","2","UNIFORME","2024-07-01","1","1"
"11","271868","170.00","2","UNIFORME","2024-07-01","1","1"
"12","271860","170.00","2","UNIFORME","2024-07-01","1","1"
"13","266901","170.00","2","UNIFORME","2024-07-01","1","1"
"14","1083544","170.00","2","UNIFORME","2024-07-01","1","1"
"15","1492073","170.00","2","UNIFORME","2024-07-01","1","1"
"16","280518","170.00","2","UNIFORME","2024-07-01","1","1"
"17","746104","170.00","2","UNIFORME","2024-07-01","1","1"
"18","979323","170.00","2","UNIFORME","2024-07-01","1","1"
"19","1318536","170.00","2","UNIFORME","2024-07-01","1","1"
"20","1336741","170.00","2","UNIFORME","2024-07-01","1","1"
"21","260739","170.00","2","UNIFORME","2024-07-01","1","1"
"22","1809305","170.00","2","UNIFORME","2024-07-01","1","1"
"23","1840496","170.00","2","UNIFORME","2024-07-01","1","1"
"24","330699","170.00","2","UNIFORME","2024-07-01","1","1"
"25","2012032","170.00","2","UNIFORME","2024-07-01","1","1"
"26","1940745","170.00","2","UNIFORME","2024-07-01","1","1"
"27","1746913","170.00","2","UNIFORME","2024-07-01","1","1"
"28","2497057","170.00","2","UNIFORME","2024-07-01","1","1"
"29","979365","170.00","2","UNIFORME","2024-07-01","1","1"
"30","1647713","170.00","2","UNIFORME","2024-07-01","1","1"
"31","2338007","170.00","2","UNIFORME","2024-07-01","1","1"
"32","2168148","170.00","2","UNIFORME","2024-07-01","1","1"
"33","1648230","170.00","2","UNIFORME","2024-07-01","1","1"
"34","1128790","170.00","2","UNIFORME","2024-07-01","1","1"
"35","2145719","170.00","2","UNIFORME","2024-07-01","1","1"
"36","130848","170.00","2","UNIFORME","2024-07-01","1","1"
"37","2602786","170.00","2","UNIFORME","2024-07-01","1","1"
"38","2542949","170.00","2","UNIFORME","2024-07-01","1","1"
"39","1784946","170.00","2","UNIFORME","2024-07-01","1","1"
"40","2162119","170.00","2","UNIFORME","2024-07-01","1","1"
"41","1473577","170.00","2","UNIFORME","2024-07-01","1","1"
"42","1426973","170.00","2","UNIFORME","2024-07-01","1","1"
"43","1489797","170.00","2","UNIFORME","2024-07-01","1","1"
"44","2534337","170.00","2","UNIFORME","2024-07-01","1","1"
"45","1344027","170.00","2","UNIFORME","2024-07-01","1","1"
"46","2264405","170.00","2","UNIFORME","2024-07-01","1","1"
"47","1648272","170.00","2","UNIFORME","2024-07-01","1","1"
"48","2064271","170.00","2","UNIFORME","2024-07-01","1","1"
"49","2358318","170.00","2","UNIFORME","2024-07-01","1","1"
"50","2350389","170.00","2","UNIFORME","2024-07-01","1","1"
"51","1023659","170.00","2","UNIFORME","2024-07-01","1","1"
"52","1756939","170.00","2","UNIFORME","2024-07-01","1","1"
"53","985555","170.00","2","UNIFORME","2024-07-01","1","1"
"54","2349875","170.00","2","UNIFORME","2024-07-01","1","1"
"55","2395421","170.00","2","UNIFORME","2024-07-01","1","1"
"56","2264852","170.00","2","UNIFORME","2024-07-01","1","1"
"57","2458360","170.00","2","UNIFORME","2024-07-01","1","1"
"58","2458372","170.00","2","UNIFORME","2024-07-01","1","1"
"59","959525","170.00","2","UNIFORME","2024-07-01","1","1"
"60","1471239","170.00","2","UNIFORME","2024-07-01","1","1"
"61","1422637","170.00","2","UNIFORME","2024-07-01","1","1"
"62","1473577","60.00","2","UNIFORME","2024-07-01","1","2"
"63","389540","60.00","2","UNIFORME","2024-07-01","1","2"
"64","2162119","60.00","2","UNIFORME","2024-07-01","1","2"
"65","2534337","60.00","2","UNIFORME","2024-07-01","1","2"
"66","2011939","60.00","2","UNIFORME","2024-07-01","1","2"
"67","2209020","110.00","2","UNIFORME","2024-07-01","1","3"
"68","2313020","110.00","2","UNIFORME","2024-07-01","1","3"
"69","2264795","110.00","2","UNIFORME","2024-07-01","1","3"
"70","2011939","110.00","2","UNIFORME","2024-07-01","1","3"
"71","1473485","110.00","2","UNIFORME","2024-07-01","1","3"
"72","1473577","53.00","2","UNIFORME","2024-07-01","1","8"
"73","1473577","53.00","2","UNIFORME","2024-07-01","1","8"
"74","1023659","53.00","2","UNIFORME","2024-07-01","1","8"
"75","2264852","53.00","2","UNIFORME","2024-07-01","1","8"
"76","280375","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"77","330658","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"78","330699","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"79","389571","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"80","448563","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"81","451766","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"82","455935","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"83","472964","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"84","572402","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"85","668611","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"86","722349","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"87","728211","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"88","728218","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"89","728675","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"90","729990","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
"91","758528","800.00","3","CAMPORI UCOB - DESBRAVADOR","2024-07-24","1","1"
