"id_recebimento","id_cadastro","valor_item","item","id_recibo","id_debito_cadastro"
"1","2145719","280.00","Eventos","185827021",NULL
"2","2542338","350.00","Mensalidade","182049756",NULL
"3","2542338","65.00","Uniforme","182049755",NULL
"4","970171","480.00","Eventos","179050187",NULL
"5","2032277","160.00","Eventos","181859333",NULL
"6","1746913","480.00","Eventos","182337852",NULL
"7","1426973","480.00","Eventos","182838160",NULL
"8","668611","480.00","Eventos","179305658",NULL
"9","1944847","120.00","Eventos","184555256",NULL
"10","1944847","120.00","Eventos","186409095",NULL
"12","1008681","480.00","Eventos","182838175",NULL
"12","688589","480.00","Eventos","182838175",NULL
"12","542609","480.00","Eventos","182838175",NULL
"13","2573056","200.00","Eventos","183602558",NULL
"13","2573088","200.00","Eventos","183602558",NULL
"14","2154431","280.00","Eventos","184184639",NULL
"15","979479","200.00","Eventos","183119590",NULL
"15","729990","200.00","Eventos","183119590",NULL
"16","979479","280.00","Eventos","177691157",NULL
"16","979479","280.00","Eventos","177691157",NULL
"17","1318536","480.00","Eventos","180597434",NULL
"17","1336741","480.00","Eventos","180597434",NULL
"18","1303904","480.00","Eventos","183341249",NULL
"19","2287553","480.00","Eventos","184184617",NULL
"20","2162119","480.00","Eventos","184184630",NULL
"21","1944830","480.00","Eventos","184128227",NULL
"22","1389995","480.00","Eventos","184564342",NULL
"23","758528","240.00","Eventos","185827017",NULL
"24","688589","120.00","Eventos","186459633",NULL
"24","1008681","320.00","Eventos","186459633",NULL
"24","542609","120.00","Eventos","186459633",NULL
"25","979479","80.00","Eventos","186459632",NULL
"25","729990","80.00","Eventos","186459632",NULL
"26","2602786","800.00","Eventos","186474807",NULL
"27","472964","300.00","Eventos","186070989",NULL
"28","827661","300.00","Eventos","186076780",NULL
"29","979323","200.00","Eventos","184720611",NULL
"30","979323","200.00","Eventos","186029277",NULL
"31","970141","320.00","Eventos","184720613",NULL
"31","1648230","320.00","Eventos","184720613",NULL
"31","2168148","320.00","Eventos","184720613",NULL
"32","1647713","200.00","Eventos","185561115",NULL
"33","1647713","200.00","Eventos","187199061",NULL
"34","1756939","320.00","Eventos","185827018",NULL
"35","1796212","800.00","Eventos","185561099",NULL
"37","2264405","800.00","Eventos","185510499",NULL
"38","979583","320.00","Eventos","185827019",NULL
"39","1648272","200.00","Eventos","185561093",NULL
"40","2162119","320.00","Eventos","185508763",NULL
"41","389571","80.00","Eventos","185561108",NULL
"41","389540","150.00","Eventos","185561108",NULL
"41","1128790","150.00","Eventos","185561108",NULL
"44","1077092","500.00","Eventos","185561116",NULL
"45","2145719","300.00","Eventos","185827022",NULL
"46","1473577","107.00","Eventos","185740942",NULL
"47","1815954","320.00","Eventos","186196498",NULL
"48","1389995","320.00","Eventos","185673975",NULL
"49","1023659","320.00","Eventos","185740952",NULL
"50","1311010","320.00","Eventos","185876504",NULL
"50","817271","320.00","Eventos","185876504",NULL
"50","1555832","320.00","Eventos","185876504",NULL
"51","451766","107.00","Eventos","186196500",NULL
"52","1940647","320.00","Eventos","186103359",NULL
"52","985555","320.00","Eventos","186103359",NULL
"53","959525","107.00","Eventos","185561119",NULL
"54","330658","320.00","Eventos","185691300",NULL
"55","2186913","320.00","Eventos","185561107",NULL
"56","1086938","320.00","Eventos","186846432",NULL
"57","2338007","320.00","Eventos","186528979",NULL
"59","778648","160.00","Eventos","183943484",NULL
"60","778648","160.00","Eventos","185740939",NULL
"61","2497057","240.00","Eventos","184184631",NULL
"62","2064271","800.00","Eventos","185512559",NULL
"63","389571","480.00","Eventos","177691158",NULL
"64","959525","480.00","Eventos","177691182",NULL
"65","1815954","480.00","Eventos","177691168",NULL
"65","1815957","480.00","Eventos","177691168",NULL
"66","1125444","480.00","Eventos","177691169",NULL
"67","979583","480.00","Eventos","177691181",NULL
"68","451766","480.00","Eventos","177691167",NULL
"69","817271","480.00","Eventos","177691179",NULL
"69","1555832","480.00","Eventos","177691179",NULL
"70","979343","480.00","Eventos","177691180",NULL
"70","1363755","480.00","Eventos","177691180",NULL
"71","728218","480.00","Eventos","177538470",NULL
"72","1603584","480.00","Eventos","177881874",NULL
"73","1940647","480.00","Eventos","177940409",NULL
"73","985555","480.00","Eventos","177940409",NULL
"74","1756939","480.00","Eventos","179050162",NULL
"75","1763772","480.00","Eventos","179050186",NULL
"76","1810418","480.00","Eventos","179050159",NULL
"77","746104","480.00","Eventos","179050185",NULL
"78","330658","96.00","Eventos","178984135",NULL
"79","1473577","96.00","Eventos","178984130",NULL
"80","2264852","96.00","Eventos","178984129",NULL
"81","1810564","144.00","Eventos","179238124",NULL
"82","1809305","144.00","Eventos","180905805",NULL
"83","728211","96.00","Eventos","179344344",NULL
"84","1473577","96.00","Eventos","180785848",NULL
"85","728211","96.00","Eventos","181053911",NULL
"86","1344027","480.00","Eventos","181614280",NULL
"87","1648230","480.00","Eventos","181859339",NULL
"88","2168254","160.00","Eventos","182038104",NULL
"88","2168255","160.00","Eventos","182038104",NULL
"89","1473577","96.00","Eventos","182337850",NULL
"90","1810564","72.00","Eventos","182729536",NULL
"90","1809305","72.00","Eventos","182729536",NULL
"91","2358318","480.00","Eventos","182837626",NULL
"91","2350389","480.00","Eventos","182837626",NULL
"92","668611","320.00","Eventos","182838156",NULL
"93","728211","96.00","Eventos","182730501",NULL
"94","811315","96.00","Eventos","178274021",NULL
"95","811315","96.00","Eventos","180098262",NULL
"96","811315","96.00","Eventos","181858375",NULL
"97","811315","96.00","Eventos","183456051",NULL
"98","811315","96.00","Eventos","185284904",NULL
"99","970141","480.00","Eventos","183654362",NULL
"100","823612","480.00","Eventos","184184287",NULL
"100","820418","480.00","Eventos","184184287",NULL
"100","572402","480.00","Eventos","184184287",NULL
"101","1473577","96.00","Eventos","184194414",NULL
"102","1810564","72.00","Eventos","184457917",NULL
"102","1809305","72.00","Eventos","184457917",NULL
"103","2011939","200.00","Eventos","185561095",NULL
"104","811315","107.00","Eventos","185561098",NULL
"105","728211","96.00","Eventos","184555255",NULL
"106","2338007","480.00","Eventos","185272633",NULL
"107","2168148","480.00","Eventos","185560979",NULL
"108","970171","107.00","Eventos","185829073",NULL
"110","1994955","107.00","Eventos","185561104",NULL
"112","1344027","120.00","Eventos","186144464",NULL
"113","1810564","72.00","Eventos","186270477",NULL
"113","1809305","72.00","Eventos","186270477",NULL
"114","728211","96.00","Eventos","186409094",NULL
"115","1810418","120.00","Eventos","187361097",NULL
"116","1815957","160.00","Eventos","187361098",NULL
"116","1815957","160.00","Eventos","187361098",NULL
"117","1804004","800.00","Eventos","187179377",NULL
"118","1318536","320.00","Eventos","187339476",NULL
"118","1336741","120.00","Eventos","187339476",NULL
"119","2349875","600.00","Eventos","187330410",NULL
"120","979323","200.00","Eventos","187788326",NULL
"122","2542868","65.00","Uniforme","1",NULL
"123","1417381","65.00","Uniforme","1",NULL
"125","2534337","65.00","Uniforme","1",NULL
"127","2154431","130.00","Uniforme","1",NULL
"128","2064271","65.00","Uniforme","1",NULL
"129","1944830","65.00","Uniforme","1",NULL
"130","1933428","105.00","Uniforme","1",NULL
"131","1363755","90.00","Uniforme","181667650",NULL
"132","2564793","20.00","Uniforme","1",NULL
"133","1746913","120.00","Uniforme","182337852",NULL
"135","2573056","50.00","Uniforme","182838178",NULL
"135","2573088","50.00","Uniforme","182838178",NULL
"136","1086938","50.00","Uniforme","182838153",NULL
"137","2504797","70.00","Uniforme","182106830",NULL
"138","979479","50.00","Uniforme","183119590",NULL
"139","2602786","50.00","Uniforme","184184608",NULL
"140","2642185","70.00","Uniforme","184184611",NULL
"141","1846874","70.00","Uniforme","184184618",NULL
"142","1494287","50.00","Uniforme","184184610",NULL
"143","2128202","70.00","Uniforme","184184616",NULL
"144","276218","50.00","Uniforme","184811810",NULL
"145","1389995","50.00","Uniforme","186474808",NULL
"146","330699","140.00","Uniforme","184811171",NULL
"147","2012032","50.00","Uniforme","185827026",NULL
"148","1940745","70.00","Uniforme","185827025",NULL
"149","1648272","170.00","Uniforme","185561100",NULL
"150","2162119","305.00","Uniforme","185513011",NULL
"151","1128790","150.00","Uniforme","185561109",NULL
"152","1128790","180.00","Uniforme","185561110",NULL
"153","2168148","170.00","Uniforme","185561111",NULL
